Day,SourceID,QuantityID,SourceTypeName,DailyAverage,TempAvg,TempMin,TempMax,Precip,WindSpeed,Pressure,is_holiday_full,is_holiday_half
2022-05-01,5,129,Satec_PM175,62497.0,20.2,17.2,22.0,0.0,14.0,1011.4,0,0
2022-05-02,5,129,Satec_PM175,75719.0,19.8,15.9,23.0,1.3,11.0,1011.8,0,0
2022-05-03,5,129,Satec_PM175,78533.0,25.6,19.5,36.0,0.0,17.8,1005.4,0,0
2022-05-04,5,129,Satec_PM175,68656.0,20.5,17.1,23.0,0.4,15.5,1011.0,0,1
2022-05-05,5,129,Satec_PM175,58432.0,19.1,16.1,22.0,0.1,17.1,1013.1,1,0
2022-05-06,5,129,Satec_PM175,59954.0,19.5,15.2,22.0,2.2,13.9,1011.9,0,0
2022-05-07,5,129,Satec_PM175,57711.0,18.9,14.3,23.0,0.0,12.6,1014.1,0,0
2022-05-08,5,129,Satec_PM175,69464.0,19.0,14.5,23.0,0.0,11.3,1015.8,0,0
2022-05-09,5,129,Satec_PM175,70587.0,19.6,14.1,25.0,0.0,15.2,1012.6,0,0
2022-05-10,5,129,Satec_PM175,76425.0,20.5,16.6,25.0,0.0,11.7,1013.7,0,0
2022-05-11,5,129,Satec_PM175,77719.0,20.1,16.0,26.0,0.0,10.4,1016.0,0,0
2022-05-12,5,129,Satec_PM175,76040.0,20.2,16.3,24.0,0.0,11.8,1018.3,0,0
2022-05-13,5,129,Satec_PM175,67570.0,20.2,16.1,23.0,0.0,11.8,1017.2,0,0
2022-05-14,5,129,Satec_PM175,70411.0,23.2,19.4,28.0,0.0,16.4,1011.7,0,0
2022-05-15,5,129,Satec_PM175,78838.0,22.7,16.9,25.0,0.0,13.4,1013.9,0,0
2022-05-16,5,129,Satec_PM175,80493.0,19.9,16.2,24.0,0.0,11.3,1016.9,0,0
2022-05-17,5,129,Satec_PM175,79633.0,20.8,16.8,26.0,0.0,11.0,1014.7,0,0
2022-05-18,5,129,Satec_PM175,80279.0,20.7,17.0,25.0,0.0,10.4,1013.4,0,0
2022-05-19,5,129,Satec_PM175,83047.0,21.6,17.8,27.0,0.0,10.5,1013.7,0,0
2022-05-20,5,129,Satec_PM175,74314.0,21.9,18.0,25.0,0.0,12.7,1012.7,0,0
2022-05-21,5,129,Satec_PM175,70520.0,24.9,13.0,35.0,0.2,14.5,1009.7,0,0
2022-05-22,5,129,Satec_PM175,79615.0,22.3,18.5,24.0,0.0,14.3,1010.2,0,0
2022-05-23,5,129,Satec_PM175,83801.0,21.4,18.4,25.0,0.0,14.3,1009.9,0,0
2022-05-24,5,129,Satec_PM175,84349.0,22.0,17.1,27.0,0.0,10.0,1011.6,0,0
2022-05-25,5,129,Satec_PM175,86360.0,21.8,18.2,25.0,0.0,11.4,1014.0,0,0
2022-05-26,5,129,Satec_PM175,90025.0,22.4,19.0,25.0,0.0,12.6,1013.6,0,0
2022-05-27,5,129,Satec_PM175,79992.0,22.7,20.5,25.0,0.0,12.8,1010.6,0,0
2022-05-28,5,129,Satec_PM175,70227.0,24.1,20.1,30.0,0.0,10.1,1008.7,0,0
2022-05-29,5,129,Satec_PM175,91878.0,24.4,20.1,31.0,0.0,12.0,1009.7,0,0
2022-05-30,5,129,Satec_PM175,92204.0,25.4,21.2,31.0,0.0,11.0,1010.4,0,0
2022-05-31,5,129,Satec_PM175,93691.0,24.2,20.0,30.0,0.0,10.6,1010.1,0,0
2022-06-01,5,129,Satec_PM175,89435.0,23.6,21.1,27.0,0.0,11.9,1008.9,0,0
2022-06-02,5,129,Satec_PM175,86137.0,23.5,20.3,26.0,0.0,10.9,1007.7,0,0
2022-06-03,5,129,Satec_PM175,75958.0,22.7,18.0,26.0,0.0,9.6,1009.5,0,0
2022-06-04,5,129,Satec_PM175,74686.0,23.0,19.0,26.0,0.0,10.9,1010.5,1,0
2022-06-05,5,129,Satec_PM175,76510.0,23.8,21.2,27.0,0.0,12.7,1010.0,0,0
2022-06-06,5,129,Satec_PM175,89708.0,24.4,21.1,29.0,0.0,9.8,1009.0,0,0
2022-06-07,5,129,Satec_PM175,93035.0,24.8,21.8,29.0,0.1,9.8,1007.5,0,0
2022-06-08,5,129,Satec_PM175,95909.0,25.0,21.0,29.0,0.0,10.2,1009.0,0,0
2022-06-09,5,129,Satec_PM175,94010.0,24.6,20.7,28.0,0.0,9.5,1010.0,0,0
2022-06-10,5,129,Satec_PM175,85174.0,25.6,22.4,29.0,0.0,11.2,1010.6,0,0
2022-06-11,5,129,Satec_PM175,81204.0,26.0,22.0,30.0,0.0,9.5,1009.1,0,0
2022-06-12,5,129,Satec_PM175,97802.0,25.7,23.2,28.0,0.0,12.0,1006.5,0,0
2022-06-13,5,129,Satec_PM175,94853.0,25.2,22.0,28.0,2.5,14.8,1007.4,0,0
2022-06-14,5,129,Satec_PM175,96657.0,24.8,21.5,28.0,0.9,11.4,1009.8,0,0
2022-06-15,5,129,Satec_PM175,96712.0,24.6,21.0,28.0,0.8,11.7,1011.4,0,0
2022-06-16,5,129,Satec_PM175,98315.0,25.4,21.4,28.0,0.0,15.7,1010.2,0,0
2022-06-17,5,129,Satec_PM175,47964.0,26.4,23.8,29.0,0.0,15.3,1007.5,0,0
2022-06-18,5,129,Satec_PM175,85190.0,27.2,23.9,31.0,0.0,12.1,1007.1,0,0
2022-06-19,5,129,Satec_PM175,96727.0,26.1,23.2,29.0,0.0,12.3,1009.5,0,0
2022-06-20,5,129,Satec_PM175,95310.0,25.4,21.9,28.0,0.0,12.0,1010.4,0,0
2022-06-21,5,129,Satec_PM175,93671.0,25.4,21.3,28.0,0.0,13.6,1007.8,0,0
