Day,DailyAverage,TempAvg,TempMin,TempMax,Precip,WindSpeed,Pressure,is_holiday_full,is_holiday_half,is_holiday_any,weekday,is_sunday,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_saturday,is_weekend_israel,is_workday_israel,is_bridge_israel,thursday_before_long_weekend,sunday_after_long_weekend,day_category_israel
2022-05-01,62497.0,20.2,17.2,22.0,0.0,14.0,1011.4,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,Dimanche (ouvrable)
2022-05-02,75719.0,19.8,15.9,23.0,1.3,11.0,1011.8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Lundi
2022-05-03,78533.0,25.6,19.5,36.0,0.0,17.8,1005.4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Jour ouvrable normal
2022-05-04,68656.0,20.5,17.1,23.0,0.4,15.5,1011.0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,Demi-férié
2022-05-05,58432.0,19.1,16.1,22.0,0.1,17.1,1013.1,1,0,1,3,0,0,0,0,1,0,0,0,1,0,1,0,Férié complet
2022-05-06,59954.0,19.5,15.2,22.0,2.2,13.9,1011.9,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,Vendredi (WE)
2022-05-07,57711.0,18.9,14.3,23.0,0.0,12.6,1014.1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,Samedi (WE)
2022-05-08,69464.0,19.0,14.5,23.0,0.0,11.3,1015.8,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,Dimanche (ouvrable)
2022-05-09,70587.0,19.6,14.1,25.0,0.0,15.2,1012.6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Lundi
2022-05-10,76425.0,20.5,16.6,25.0,0.0,11.7,1013.7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Jour ouvrable normal
2022-05-11,77719.0,20.1,16.0,26.0,0.0,10.4,1016.0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,Jour ouvrable normal
2022-05-12,76040.0,20.2,16.3,24.0,0.0,11.8,1018.3,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,Jeudi avant WE long
2022-05-13,67570.0,20.2,16.1,23.0,0.0,11.8,1017.2,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,Vendredi (WE)
2022-05-14,70411.0,23.2,19.4,28.0,0.0,16.4,1011.7,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,Samedi (WE)
2022-05-15,78838.0,22.7,16.9,25.0,0.0,13.4,1013.9,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,Dimanche (ouvrable)
2022-05-16,80493.0,19.9,16.2,24.0,0.0,11.3,1016.9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Lundi
2022-05-17,79633.0,20.8,16.8,26.0,0.0,11.0,1014.7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Jour ouvrable normal
2022-05-18,80279.0,20.7,17.0,25.0,0.0,10.4,1013.4,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,Jour ouvrable normal
2022-05-19,83047.0,21.6,17.8,27.0,0.0,10.5,1013.7,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,Jeudi avant WE long
2022-05-20,74314.0,21.9,18.0,25.0,0.0,12.7,1012.7,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,Vendredi (WE)
2022-05-21,70520.0,24.9,13.0,35.0,0.2,14.5,1009.7,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,Samedi (WE)
2022-05-22,79615.0,22.3,18.5,24.0,0.0,14.3,1010.2,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,Dimanche (ouvrable)
2022-05-23,83801.0,21.4,18.4,25.0,0.0,14.3,1009.9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Lundi
2022-05-24,84349.0,22.0,17.1,27.0,0.0,10.0,1011.6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Jour ouvrable normal
2022-05-25,86360.0,21.8,18.2,25.0,0.0,11.4,1014.0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,Jour ouvrable normal
2022-05-26,90025.0,22.4,19.0,25.0,0.0,12.6,1013.6,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,Jeudi avant WE long
2022-05-27,79992.0,22.7,20.5,25.0,0.0,12.8,1010.6,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,Vendredi (WE)
